DATE,YEAR,TYPE,COUNTRY,AREA,LOCATION,ACTIVITY,INJURY,FATAL (Y/N),SPECIES ,MONTH,ACTIVITY_TYPE,SPECIES
25-Jun-2018,2018.0,Boating,USA,California,"Oceanside, San Diego County",paddling,"No injury to occupant, outrigger canoe and paddle damaged",N,White shark,Jun,paddling,white shark
8-Jun-2018,2018.0,Unprovoked,USA,Georgia,"St. Simon Island, Glynn County",standing,Minor injury to left thigh,N,,Jun,standing,unknown
9-Jun-2018,2018.0,Invalid,USA,Hawaii,"Habush, Oahu",surfing,Injury to left lower leg from surfboard skeg,N,,Jun,Surfing,unknown
8-Jun-2018,2018.0,Unprovoked,AUSTRALIA,New South Wales,Arrawarra Headland,surfing,Minor injury to lower leg,N,2 m shark,Jun,Surfing,2 m shark
4-Jun-2018,2018.0,Provoked,MEXICO,Colima,La Ticla,free diving,Lacerations to leg & hand shark PROVOKED INCIDENT,N,"Tiger shark, 3m",Jun,Diving,tiger shark
3-Jun-2018,2018.0,Unprovoked,AUSTRALIA,New South Wales,"Flat Rock, Ballina",kite surfing,"No injury, board bitten",N,,Jun,Surfing,unknown
3-Jun-2018,2018.0,Unprovoked,BRAZIL,Pernambuco,"Piedade Beach, Recife",swimming,FATAL,Y,Tiger shark,Jun,Swiming,tiger shark
27-May-2018,2018.0,Unprovoked,USA,Florida,"Lighhouse Point Park, Ponce Inlet, Volusia County",fishing,Minor injury to foot. PROVOKED INCIDENT,N,"Lemon shark, 3'",May,Fishing,lemon shark
26-May-2018,2018.0,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",walking,Lower left leg bitten,N,"Bull shark, 6'",May,walking,bull shark
26-May-2018,2018.0,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",standing,Minor injury to foot,N,,May,standing,unknown
24-May-2018,2018.0,Provoked,AUSTRALIA,Queensland,Cairns Aquarium,feeding sharks,Minor bite to hand by captive shark. PROVOKED INCIDENT,N,Grey reef shark,May,feeding sharks,grey shark
21-May-2018,2018.0,Unprovoked,USA,South Carolina,"Isle of Palms,  Charleston County",boogie boarding,Injuries to lower right leg and foot,N,,May,boogie boarding,unknown
3-May-2018,2018.0,Unprovoked,USA,South Carolina,"Hilton Head Island, Beaufort County",swimming,Severe bite to right forearm,N,,May,Swiming,unknown
3-May-2018,2018.0,Invalid,UNITED KINGDOM,Cornwall,Off Land's End,fishing,Injured by teeth of a dead porbeagle shark he was tossing overboard.,N,Invalid incident,May,Fishing,invalid incident
